ExecutionNumber,KataInfo,KataNumber,AthleteNumber,Frame,N_ELEM,S,A,STR,BLK,REY,HKD,FUD,UHD,DZKD,KOKD,NKSD,UPP,MDL,LOW,SIML,L,R,HND,UPA,SD,CRCL,OUTS,DW,SWNG,MVFRW,MVBCK,MVLFT,MVRHT,ROT45,ROT180,FSTF,FSTHMR,HNDKNF,ERRD,ERRM,ERRS,ERRB,Time,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_ankle_X,right_ankle_Y,right_ankle_Z,right_heel_X,right_heel_Y,right_heel_Z,right_foot_index_X,right_foot_index_Y,right_foot_index_Z,left_hip_X,left_hip_Y,left_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,left_heel_X,left_heel_Y,left_heel_Z,left_foot_index_X,left_foot_index_Y,left_foot_index_Z,nose_X,nose_Y,nose_Z,right_eye_X,right_eye_Y,right_eye_Z,left_eye_X,left_eye_Y,left_eye_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,right_pinky_X,right_pinky_Y,right_pinky_Z,right_index_X,right_index_Y,right_index_Z,right_thumb_X,right_thumb_Y,right_thumb_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,left_pinky_X,left_pinky_Y,left_pinky_Z,left_index_X,left_index_Y,left_index_Z,left_thumb_X,left_thumb_Y,left_thumb_Z
13,Тайкёку соно сан (№3),3,3,0,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.4645058408833658,0.8253581209515604,4.074748286951557,1.4960405801795196,0.4545604937187487,4.115282271801229,1.4447825673937895,0.0601679959581811,4.1223056049255495,1.4117744682054207,0.0083362188533274,4.1040665510095655,1.5801382577218028,-0.0140655409236523,4.157336733129092,1.4656871017622872,0.8225147168046394,3.8719812867335577,1.50020056624675,0.4364429408887405,3.8566457661862135,1.4550695452663367,0.0714001747466455,3.848802929324265,1.4136418887768365,0.01175566553044,3.857097265208112,1.5763742926234074,-0.0046049619220574,3.827775891262165,1.6333271314506466,1.4621483482387108,3.986267116900845,1.6145985447462845,1.4950078574473684,4.012980373994176,1.6191737787168758,1.4971902032624564,3.957380069308997,1.48172862662272,1.2773779578219706,4.141664955597544,1.4119685475167565,1.040262764297534,4.212960694128075,1.420882163990257,0.8420642593885407,4.3220606615960575,1.4305080564459958,0.7858942817942703,4.352616807532843,1.4470734194299164,0.7838324556187478,4.36003483796026,1.443740496876348,0.8007015498161911,4.338650790337125,1.4958802439527883,1.2806374043696755,3.809631588950538,1.469911275226054,1.0254758190959463,3.740564570815503,1.488952771366781,0.8243763067154434,3.64808852000158,1.4785435527170512,0.7670249245264416,3.617673635220745,1.4788844336903744,0.7645000398848143,3.629704048085009,1.4761436497442022,0.7822646358689453,3.65013031807008
13,Тайкёку соно сан (№3),3,3,1,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.016666666666666607,1.4645287393490114,0.8250610414443336,4.07560644530125,1.4965327474161214,0.4544321777665392,4.115012947733551,1.4451936281075588,0.0601304433359628,4.122060190959161,1.412027950681617,0.0084503181775154,4.103944942951429,1.580576203115136,-0.0140031401731425,4.156772339433247,1.4655032898383424,0.8222071510155395,3.872604052455916,1.5006187682307182,0.436116965063349,3.856574809029939,1.4552726785814103,0.0711027160275011,3.847647523726288,1.4138054809005969,0.0114761287151402,3.856147338154222,1.576644422287441,-0.004671214344233,3.8272305481008457,1.6334397280810495,1.462451429811863,3.986315282380455,1.6146313625497872,1.49521081516561,4.013046162455499,1.6191834346616076,1.497491073137415,3.95750149781727,1.4818929461303547,1.2774885537734844,4.142042194883234,1.41202761442359,1.0405662486927394,4.213369288825663,1.420910646056396,0.8422446112466999,4.321755406019553,1.4301196391928188,0.7857498766300444,4.352501432468552,1.4467251304871425,0.7837482560886944,4.359813541980728,1.443334854220431,0.8005857602501991,4.338592983410111,1.4959694357502955,1.2805289420481856,3.8100435946792746,1.4696851972533032,1.0255756755853138,3.7412480960848313,1.4886204614731713,0.8244631296736127,3.648495934464454,1.4781237642316012,0.7672892409782336,3.617918723368188,1.478561026676276,0.7648034429458583,3.630211018174613,1.4758638984612535,0.7825149336956414,3.650604109084532
13,Тайкёку соно сан (№3),3,3,2,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.033333333333333215,1.4644992389028084,0.8247095009404216,4.07665854714109,1.497039829631425,0.4542804119995236,4.114849518592136,1.4455026235308843,0.0601491491981436,4.1221486882130165,1.412109768908545,0.0086473170404745,4.1043290092363325,1.5809581248447475,-0.0138328242223568,4.156229663059381,1.465155973431053,0.8219060978687617,3.87354212876221,1.5011492857783464,0.435830531776285,3.856630830021648,1.4557191029411043,0.0707712369538399,3.846458544205879,1.414220530201417,0.0111498288017027,3.855143908076277,1.5771680084390425,-0.0047672679948362,3.826722287853453,1.6336212336588205,1.4627553634502208,3.9863572425187503,1.614719679623939,1.495402633043621,4.013133580812893,1.6191670736523105,1.4977655780328571,3.957676838726424,1.4820932428851707,1.277631578579367,4.142535673114448,1.4120265247829435,1.0409123678300256,4.213899099127158,1.420918929407856,0.842476024262471,4.321580193063292,1.4295266229129835,0.7856234245248046,4.352621577950028,1.4462341880504566,0.7837316321294477,4.359766928877857,1.4428503579743288,0.8005300228334065,4.338677772635506,1.4960205577815444,1.2803996868244527,3.810655976772492,1.4692144530077016,1.0257227512975224,3.742113106625177,1.4882172749134357,0.8245792313732287,3.6488584872097856,1.4776088091264512,0.7676597244498735,3.618114272396445,1.478124087387474,0.7652065902776707,3.630620002730773,1.475502075030658,0.7828435664239666,3.65099870873476
13,Тайкёку соно сан (№3),3,3,3,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04999999999999982,1.4644051030091771,0.8243336199028843,4.077925743790482,1.497572499493786,0.4541185763208195,4.114816356413488,1.445685757582306,0.0602457692366816,4.122735867476135,1.4119680696575876,0.0089722545166474,4.105469345361137,1.5813088939986506,-0.0135484316781661,4.155709107815016,1.464616459792339,0.8216522622316129,3.874833887600376,1.5017645414798722,0.4355983270296349,3.856865464900437,1.4564584499522926,0.0704375226969463,3.845287350749428,1.4149359070566132,0.0108126723230626,3.854139486996656,1.5780340484631037,-0.0048821949820204,3.8262517262700704,1.6338879407649003,1.4630410577518578,3.986395582898658,1.6148933753157049,1.4955582578807616,4.01323740076941,1.619125559041259,1.497983262551836,3.957912465147352,1.482352617282452,1.27780946101277,4.143155946919993,1.4119790543147932,1.0413295577394517,4.214579740898275,1.4209399444233188,0.8428394722344057,4.321588095680997,1.4287725899029493,0.7856076996589311,4.353056520054491,1.4456525059003882,0.7838904494543261,4.359957449157597,1.442340708234458,0.8006478543809771,4.3389604484165485,1.4960053027577118,1.28025483414144,3.8115445835684354,1.4684722131433308,1.025970414380021,3.743159703641189,1.487702786663171,0.8248141877045084,3.649157166928333,1.4769701666842594,0.7682162762858333,3.618211075681388,1.4775421491418692,0.7657879542673787,3.630886161707272,1.4750251047699718,0.7833317178387218,3.651277720377714
13,Тайкёку соно сан (№3),3,3,4,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06666666666666643,1.4642438282463803,0.8239560275655524,4.0794228198237255,1.4981648826098262,0.4539578639872572,4.114926355642148,1.4457332297408112,0.0604535262813591,4.123985489246964,1.4115742016168462,0.0094889639301028,4.107599813599486,1.5816337397708655,-0.0131463622962823,4.155227020892131,1.4638614169972706,0.8214670469306949,3.876500085603445,1.502411232319774,0.435430409191001,3.8573059533154312,1.4575102103497817,0.0701353154152507,3.844179307480886,1.4159742974795528,0.0105009951074253,3.853189183254272,1.579291896395589,-0.0049945682258841,3.825804520452543,1.6342517759509778,1.463282967549144,3.986428309521621,1.6151797703440978,1.495645757716467,4.013350927911718,1.6190593309733343,1.4981081644953853,3.958211076233997,1.4827081490040663,1.278021650594418,4.143922935136648,1.411917466501072,1.0418397572916105,4.215458936677574,1.4210197122608244,0.8434376300718034,4.321855277758449,1.4279468865785223,0.785824877830583,4.353895246543724,1.445075109431308,0.7843615198210313,4.360459698768899,1.4418962971628757,0.8010814995475498,4.339513556330362,1.4958886085219727,1.2800984797395285,3.812783478036232,1.4674282636051332,1.0263786633467655,3.7443876164198366,1.487018219408592,0.8252810075671076,3.649355316107,1.476163763954497,0.7690599746329361,3.618137571166327,1.4767695869156472,0.7666493213544933,3.630939263640563,1.4743843668150096,0.7840841953942703,3.6513785008510102
13,Тайкёку соно сан (№3),3,3,5,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08333333333333304,1.464025856855803,0.8235868304157271,4.081149480333142,1.4988648505526925,0.4538025815144378,4.11518280770065,1.4456509554251926,0.0608159577016492,4.126049024863881,1.4109220854594944,0.0102759921963074,4.110919617103615,1.581906295936188,-0.0126279521056518,4.154816274521649,1.4628697569079343,0.8213502205059865,3.8785438209324856,1.5030326997212728,0.4353337730421124,3.857954626918767,1.4588632672128472,0.0698985673774808,3.8431701795268634,1.4173295966442356,0.0102477922991394,3.85234320561098,1.5809395167539555,-0.0050759775144789,3.8253603232168807,1.6347196612026995,1.4634515761293303,3.986455853931631,1.6156001233982629,1.4956297788753763,4.013471664025065,1.6189711439901333,1.4981028382230166,3.958572476735452,1.4832126802202308,1.2782609250886632,4.144865211396112,1.411888087364623,1.042452364703094,4.216602099060092,1.4212123330552546,0.8443977593507547,4.322490142353396,1.4271861438929991,0.7864347671735847,4.355237632603708,1.4446424745690731,0.7853182067694405,4.361361922645108,1.4416451827265395,0.8020060302371704,4.340430375511863,1.4956380617990448,1.2799266063415358,3.814430403094898,1.466053474412054,1.026997867299989,3.745791846326847,1.486101426014638,0.8260959464196295,3.649382281366461,1.4751437277776775,0.770298024562448,3.6177920344484935,1.4757586127343445,0.7679006226244497,3.630669963485497,1.4735264245897142,0.785213128179122,3.651196830481015
13,Тайкёку соно сан (№3),3,3,6,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.10000000000000053,1.463772167097788,0.8232134655839976,4.083088101391926,1.4997179106839815,0.453650376312306,4.115590591426941,1.4454588475340735,0.0613780118906749,4.129065679620572,1.410020616587124,0.0114077608328267,4.115596804831522,1.582078744745221,-0.0120025511764545,4.154527272487326,1.4616232336745734,0.8212732065857555,3.8809500176848495,1.5035811449576109,0.4353118447808587,3.858790191197087,1.4604840229774396,0.0697561225047574,3.842281942368212,1.4189720301037323,0.0100821608276453,3.8516373957097447,1.5829263861910936,-0.0050978446251053,3.8249029433442634,1.6352972288124157,1.4635206188620524,3.98647897376167,1.6161729003056284,1.4954790200209724,4.013596993040602,1.618869315176978,1.4979347692823122,3.95899385744914,1.483928588615672,1.2785124077878602,4.146016431225145,1.4119380217473705,1.0431577195087656,4.218096586473024,1.4215824091936715,0.8458600932699307,4.323641245166574,1.4266852805363863,0.7876345897060859,4.35719293359691,1.4445498183515637,0.7869701256857617,4.362765634415087,1.4417590111513556,0.8036268906719246,4.341827487255538,1.495225613970782,1.2797269422642437,3.8165170670256248,1.4643296896444795,1.0278533050621732,3.747354125083664,1.4848952278060843,0.827364043506314,3.649121531727089,1.473871878981345,0.7720315889229892,3.617041725017416,1.4744682326319256,0.7696505266404269,3.629927796557614,1.472399848484908,0.786827224581869,3.6505819312120993
13,Тайкёку соно сан (№3),3,3,7,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11666666666666714,1.4635125977015992,0.8227933424380792,4.0852099305222,1.5007512810371015,0.4534925956248136,4.1161655440950575,1.4451950110535483,0.0621746591343717,4.133155851387071,1.408896883029894,0.0129319082095582,4.121757652847752,1.582099407709416,-0.0112854466518304,4.154430385889419,1.4601160654758156,0.8211733011750545,3.883686676819319,1.5040285085403724,0.4353670752182044,3.859773395887709,1.4623369035956173,0.0697268448284077,3.841518367753807,1.4208633951520164,0.0100282818378518,3.851081235807924,1.5851759331924196,-0.0050386440554407,3.824429701731476,1.6359910249785292,1.4634683141906686,3.9864938500026175,1.6169177299001058,1.4951705083981253,4.013718287104886,1.618769647954451,1.4975791067659388,3.9594708466038897,1.4849182691299638,1.27875341703267,4.147415225438761,1.4120997610295505,1.0439276566346856,4.220059299380001,1.42220971051279,0.8479626369759087,4.325492738012486,1.426712995239511,0.7896557439200805,4.359866088172946,1.445061213965101,0.7895588068266919,4.364776281033013,1.4424634484764411,0.8061753113217166,4.343836681528013,1.4946274082802855,1.2794845152206031,3.819046742443203,1.4622688278039464,1.028944653133513,3.749031669648247,1.4833561285299717,0.8291781420502349,3.648409673836544,1.472324209524631,0.774352624781863,3.61572567758609,1.4728724845611474,0.7720054701944692,3.628529918520416,1.4709635397338283,0.7890312166799516,3.649343504829394
13,Тайкёку соно сан (№3),3,3,8,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.13333333333333375,1.463283300600846,0.8222501934451176,4.087488731483541,1.5019694271075812,0.453305927467479,4.116936972024764,1.4449198925975646,0.0632133136490598,4.138396126760437,1.4076117223389422,0.0148506437458394,4.129445544380852,1.581934372736092,-0.01049474078019,4.154604308067444,1.458365625092101,0.8209470103100779,3.8867031474338583,1.504372251720969,0.4355023616041303,3.860850911824941,1.464392236714944,0.0698158492625902,3.8408578635227975,1.422959657489943,0.0101005860020605,3.8506455187066297,1.5876055027263634,-0.0048901159834032,3.8239337083377887,1.6368041714648591,1.4632715433229668,3.986492678736099,1.6178536619796982,1.4946876273610994,4.013823395287719,1.618691443240537,1.4970176168548317,3.959999459120504,1.4862398064106608,1.278953641984243,4.149106724161328,1.4123860858556354,1.0447271904365336,4.222634081355517,1.4231822469299862,0.8508416854501448,4.328251578753233,1.4276151915835522,0.7927660902059553,4.363341394960536,1.446507462185013,0.7933597813215593,4.367497784858433,1.4440333689273093,0.8099108739719975,4.346595629351134,1.493825472994751,1.279183589558025,3.821994731399836,1.4599313005322077,1.030261713661336,3.750751254167971,1.4814592466205978,0.831642101513845,3.647059577253994,1.4704953718472544,0.7773600069224402,3.613672083945141,1.4709597169090862,0.7750850417418207,3.626284502064475,1.4691886804536958,0.7919455641680806,3.64727529207494
13,Тайкёку соно сан (№3),3,3,9,001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15000000000000036,1.4631169996153788,0.821483765883085,4.089914639259787,1.5033635816389723,0.4530470615361984,4.117947394873428,1.444710319189372,0.0644549100417615,4.144793446262855,1.4062631569390116,0.0171049593957723,4.138586081952485,1.5815967664324997,-0.0096538213205702,4.155107125396278,1.4564071950173467,0.8204579164323812,3.88993321183102,1.5046234243675607,0.4357227875049904,3.861957133616184,1.4666097350815124,0.0700117817581025,3.840250894235669,1.4251940443888516,0.0102954295789346,3.8502606692572185,1.5901313775424069,-0.004660774617467,3.823360488611069,1.63772795421991,1.4629013680930436,3.9864682382778,1.618990899759411,1.4940156312649375,4.013905219649022,1.6186474590797706,1.4962361534294035,3.9605802984013407,1.4879475587860906,1.2790780706989764,4.151137707981059,1.4127942236784548,1.0455319047817468,4.225984987539956,1.424583149019944,0.8546529313786521,4.332135575232768,1.4298004943891325,0.7972798711399003,4.367674023279654,1.4492612708311987,0.7986925904570424,4.37103398400088,1.4467734518562636,0.8151329412932963,4.350239223490569,1.4928083396898495,1.278805031120294,3.8253155596081423,1.457419179901511,1.031802101839992,3.752414396161342,1.4792002449987836,0.8349012068874148,3.644895673435728,1.468404206679568,0.7811839177222306,3.610723987516871,1.468725071045501,0.7790413414108218,3.623017190354834,1.46705522312937,0.7957308692262645,3.644183356880164
