;ExecutionNumber;KataInfo;KataNumber;AthleteNumber;Frame;N_ELEM;S;A;STR;BLK;REY;HKD;FUD;UHD;DZKD;KOKD;NKSD;UPP;MDL;LOW;SIML;L;R;HND;UPA;SD;CRCL;OUTS;DW;SWNG;MVFRW;MVBCK;MVLFT;MVRHT;ROT45;ROT180;FSTF;FSTHMR;HNDKNF;ERRD;ERRM;ERRS;ERRB;Time;X_24;Y_24;Z_24;X_26;Y_26;Z_26;X_28;Y_28;Z_28;X_30;Y_30;Z_30;X_32;Y_32;Z_32;X_23;Y_23;Z_23;X_25;Y_25;Z_25;X_27;Y_27;Z_27;X_29;Y_29;Z_29;X_31;Y_31;Z_31;X_0;Y_0;Z_0;X_5;Y_5;Z_5;X_2;Y_2;Z_2;X_12;Y_12;Z_12;X_14;Y_14;Z_14;X_16;Y_16;Z_16;X_18;Y_18;Z_18;X_20;Y_20;Z_20;X_22;Y_22;Z_22;X_11;Y_11;Z_11;X_13;Y_13;Z_13;X_15;Y_15;Z_15;X_17;Y_17;Z_17;X_19;Y_19;Z_19;X_21;Y_21;Z_21
0;2;Тайкёку соно ичи (№1);1;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;-0.002025655970488538;0.002156987548056599;0.08257091387509519;-0.030195271147111846;-0.2633433371995791;0.11251052907375847;-0.08558327637108354;-0.5431431847478863;0.1406187693585661;-0.11796183132215976;-0.5922408223257367;0.12304098804283026;-0.0007373650424247202;-0.6036158928357572;0.16941653857450767;0.00202565597048876;-0.002156987548056599;-0.08257091387509563;-0.0005768573460600557;-0.26112592517083716;-0.09704394735141086;-0.05257939032551473;-0.5438373883744412;-0.13180625476426933;-0.08306566580011032;-0.5896148086753766;-0.12990641045779006;0.04188408358963702;-0.6018844265754492;-0.15192913377287454;0.08906182981042665;0.5571969518843208;0.01940101933120797;0.06875323704428538;0.5872316911388676;0.03431732508583085;0.07417739403478008;0.5881375655619548;0.0007628750361527992;-0.043484160324467114;0.41620942690710716;0.1329475364266397;-0.05308649196097304;0.22486001232538444;0.15868275898418727;-0.007407584961434344;0.059008851371839866;0.2235339944941721;0.0011372166946403972;0.009478338015782573;0.2455084525794966;0.01766996492269346;0.013244300179775403;0.25180641166340045;0.01917622722128698;0.024734652559383785;0.2358528839564853;-0.024727911982813433;0.4193954777500698;-0.12277021559601131;-0.036707402433822534;0.2080714755960783;-0.1637630179651577;0.00996905372535406;0.03254232159693282;-0.20541724017802743;0.023582577703565866;-0.019867778336547737;-0.21864105250772026;0.03753663019390174;-0.01825009141722478;-0.2119189945517692;0.03386756469973928;-0.0025369241778958607;-0.19889351801677613
1;2;Тайкёку соно ичи (№1);1;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0166666666666666;-0.001742121132879637;0.0023535745701624977;0.08277912745814131;-0.028927557211549715;-0.26332517666658245;0.11256625477127535;-0.08421482724092888;-0.5437730882336173;0.14107127389503482;-0.11677213478839388;-0.5927629803961678;0.12398987164607256;0.0015108827006380388;-0.6040118097693697;0.16919380310411647;0.0017421211328798591;-0.0023535745701623867;-0.08277912745814087;0.0005142779658240393;-0.26140347424254856;-0.09681869490482775;-0.05050497091624351;-0.5443879866419696;-0.13020242630350776;-0.08095389263956054;-0.590418656384619;-0.12812030294498689;0.044782491825215764;-0.6023643835889154;-0.1510859874870638;0.09045094028890088;0.5573125418488232;0.020023669259505716;0.07005126236173642;0.587722866824701;0.03482721782101894;0.07563600869911435;0.5885891846854241;0.0014489455950119634;-0.042312894368981;0.4166561630193639;0.13357607144128636;-0.05083763914940853;0.22466994331083667;0.1604636694405821;-0.005602167539301872;0.058861552344494195;0.22335620627865005;0.0028182638036731156;0.009088088920869097;0.24580030431672473;0.01928918837591098;0.01301191291689252;0.2519186090974852;0.02062975852452653;0.02447030255675786;0.23578904281785462;-0.023719240678279796;0.41940379213892864;-0.12293635836621863;-0.036899227740723184;0.20767267313114546;-0.1634081497259019;0.00877064617457246;0.031337928566854134;-0.2044221163704698;0.022405932993271094;-0.0208676796002496;-0.21758058836021954;0.03646158661563614;-0.019039772329560667;-0.2111245479217927;0.03289446191175327;-0.0036022550276582077;-0.19820487701276068
2;2;Тайкёку соно ичи (№1);1;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0333333333333332;-0.0013815752464712006;0.002507178611476202;0.08295879473743373;-0.027241959097265678;-0.26326770482155987;0.11265005829024233;-0.08266704746197728;-0.5444064483418212;0.14166289639239338;-0.11544386775455329;-0.5932117371805519;0.12521741099611194;0.00418323726622849;-0.6044089479549375;0.1691696582283475;0.0013815752464712006;-0.002507178611476202;-0.08295879473743373;0.0018531814489615162;-0.2616757339403474;-0.09675963354720007;-0.04798511917672088;-0.5449598651540274;-0.1285989961387548;-0.0783411883365519;-0.5911870496082086;-0.12626696012308303;0.048248404770632636;-0.6028756569480795;-0.1503579345587296;0.09241704604799872;0.5573358615359206;0.020633200995321843;0.07194876123027605;0.5881510715906614;0.035354097645214466;0.07756956002848225;0.5889911638196866;0.00221219008409701;-0.040617053126315694;0.4170679862261738;0.13433967488038245;-0.04815408341158123;0.2244499786782862;0.16241277503817564;-0.0033686852386178856;0.05870930993097301;0.22345480470059442;0.005057276518731113;0.008756179093813765;0.24643143554172653;0.0214053148127773;0.01283995114723957;0.25237546660938914;0.02248382996562115;0.024292283573885354;0.23601789720674482;-0.022335694093465364;0.41940519616965244;-0.12290140479662481;-0.037056071577199035;0.20730926926978743;-0.16301145235636083;0.007433344105748363;0.030135671859460644;-0.20360546589275685;0.02105692424610628;-0.021906253374602058;-0.2167569231144295;0.03528603206174363;-0.019901866938744184;-0.21057269748999197;0.03183331704904502;-0.0047249206705912705;-0.1977256536258607
3;2;Тайкёку соно ичи (№1);1;2;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0499999999999998;-0.0009372740046984518;0.0025982330221746563;0.08310793144125395;-0.025079817179763042;-0.2631827792067753;0.11279066109801228;-0.08088851733872238;-0.5450166082069542;0.14247208454750293;-0.1139527282739139;-0.593552583564645;0.1267869634332479;0.0073131500600898125;-0.6047963123019563;0.16942753204182726;0.0009372740046984518;-0.0025982330221746563;-0.08310793144125483;0.0034178110758453784;-0.2619186544372882;-0.09693049490797412;-0.04511445495295252;-0.5455260246355231;-0.12716288773102447;-0.07530718378471257;-0.5918753177780837;-0.12451581864124162;0.0521576349490136;-0.6033845887114619;-0.14992443901288155;0.09496816354952542;0.5572303653556754;0.021195031162403843;0.07448266325409048;0.5884592559857222;0.035879913511152495;0.07997498882451803;0.5892922091033648;0.0030186424402698364;-0.03831990328053303;0.4173972889141435;0.13526003072605342;-0.0450486165335946;0.22419129098988333;0.1644844647670638;-0.000716116228312913;0.05858847226919317;0.22397011151759916;0.007884372543805584;0.008551068221280933;0.24752695180149686;0.024039190710995584;0.012802325131578862;0.25330207730138987;0.024757093354165427;0.02426751519822401;0.23667683320366883;-0.020579683765136414;0.4194002163938153;-0.12255618133596391;-0.03720618232775741;0.20703884187700783;-0.16255125323747732;0.00588814238175539;0.02904614807292616;-0.2030588696307749;0.01945506250921958;-0.022901291360980736;-0.21630997443045352;0.033927757307767425;-0.020771936402645075;-0.2103761176230181;0.030606711807275033;-0.005820602980423306;-0.19754042444207442
4;2;Тайкёку соно ичи (№1);1;2;4;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0666666666666664;-0.0004068497913507496;0.0026065854072269135;0.08321962122836535;-0.022387733835528723;-0.26307620922123554;0.11304545179654202;-0.0787989749804261;-0.5455651408159193;0.14358993268325015;-0.11222969469473298;-0.5937584920493115;0.12873253698852682;0.010941713105804718;-0.6051492718247325;0.17006443463684384;0.0004068497913507496;-0.0026065854072270245;-0.08321962122836624;0.0051775833585845366;-0.26210748813602824;-0.0973942340774614;-0.042037064969368876;-0.5460324355953529;-0.1260920452659282;-0.07199528100748553;-0.5924312176212337;-0.12306816895623296;0.05628630593183148;-0.603830413719323;-0.1499916342301506;0.09808140917693486;0.5569544004231317;0.021676496986485105;0.07766297356017349;0.5885848969486434;0.0363909466072867;0.08282174335163006;0.5894342410931512;0.003837339210267743;-0.035376103173283324;0.41758017774947853;0.13635618298081376;-0.04156281655246086;0.22387820962721183;0.16662439914566463;0.002347217122707912;0.05856165850823736;0.22503535650667317;0.011316073644557001;0.00856888069759687;0.24920529737045793;0.027210547001492058;0.013009348212801974;0.25482456318817537;0.02748102823889731;0.02449264025517295;0.23790870193516778;-0.018475477631441528;0.4193726536468312;-0.12178944528710245;-0.03738523184606701;0.20689335517149554;-0.16200447205606405;0.004056088488121556;0.02817815416848546;-0.20288053063716616;0.0175023842670059;-0.023759467350130903;-0.2163882634464218;0.0322712612588727;-0.021567285933046576;-0.21065018956851445;0.029113297694581375;-0.006793737800180666;-0.19774300438208137
5;2;Тайкёку соно ичи (№1);1;2;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0833333333333339;0.0002050420669115205;0.002511262892018973;0.08327811262692197;-0.01911896272456115;-0.26292961859230657;0.11349587321762922;-0.07631204411961767;-0.5459856586093261;0.14511453406571917;-0.11018148088547908;-0.593786255386755;0.1310706695783752;0.015113151201619157;-0.6054220118352358;0.1711704783779302;-0.0002050420669115205;-0.002511262892018973;-0.08327811262692153;0.007082173450740914;-0.262212529386753;-0.09821432828494459;-0.03894755781835846;-0.5463901756954529;-0.12561759755300805;-0.06860197623140163;-0.5927834765697964;-0.12216034138318488;0.06034706379881816;-0.6041339634197714;-0.15080203990939145;0.10170536766454052;0.5564623776645088;0.022046803773706714;0.08146936755004242;0.5884659728860249;0.03687405534082533;0.08604935576273331;0.58935818244641;0.00464499226718651;-0.031792434624083654;0.41755308879611985;0.13763915873747656;-0.037775815713426475;0.22349383633782116;0.1687716449709855;0.0058225203659934;0.05872985236295747;0.2267622940732137;0.015355387304672341;0.008940501486025654;0.25156589147847885;0.03094462543641585;0.013613883427606388;0.2570544016466494;0.03070594837001539;0.025101780108831573;0.23984561318435826;-0.016071729579963945;0.4192950676273146;-0.12049654941512777;-0.03761991972232437;0.20688745290040056;-0.1613500076115595;0.0018667490328301284;0.02764904678664437;-0.2031948158752961;0.015093109601738819;-0.024366816181500717;-0.2171618849940553;0.030184852130105133;-0.022177014906290315;-0.2115380739953152;0.027241587196668915;-0.007525839579286542;-0.19846022982564016
6;2;Тайкёку соно ичи (№1);1;2;6;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1000000000000005;0.0008875206558152104;0.0022950750059200775;0.08326119125386278;-0.015244752499056213;-0.26269387305330644;0.11424021298328313;-0.07335704334696302;-0.546183561651187;0.14714425432771616;-0.10770810259003638;-0.5935657499372816;0.1338090621657324;0.01985201039686868;-0.6055541147131935;0.1728198397502787;-0.0008875206558149884;-0.0022950750059199665;-0.08326119125386233;0.009051825147807113;-0.26219521707022936;-0.09946177462871342;-0.03609602295412606;-0.5464756098574355;-0.12600648775793655;-0.06538082525681688;-0.5928325567220392;-0.12206741134803911;0.063998748791946;-0.6042025937449576;-0.15265621112855277;0.10575250156686877;0.5557078706181586;0.022279777533570133;0.08583977733161063;0.5880476830768344;0.037318148291428876;0.08955937437909789;0.5890099153359731;0.005428273135925643;-0.027641902157687692;0.4172722056823164;0.13911016281909738;-0.03380316087744939;0.22303117001972173;0.17086062154781523;0.009711765741626799;0.05923565340988113;0.22923301708222432;0.019983285002003193;0.009834380304808432;0.254683875196811;0.035259456123991395;0.014811743989739057;0.26007708618542846;0.03448221911635985;0.02626678467357113;0.24259450291327056;-0.013443590615212386;0.4191387509898057;-0.11858648252904214;-0.03791804743309002;0.20703290025162902;-0.16057060165268222;-0.0007449873180951361;0.02758641136531892;-0.20416613509085835;0.01210798302726701;-0.024583539838329838;-0.21883564285477108;0.027517771173886985;-0.02245618649131964;-0.21323206147031915;0.024858443636712302;-0.007870165422385611;-0.19987027553294823
7;2;Тайкёку соно ичи (№1);1;2;7;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1166666666666671;0.0016275010563324699;0.0019522707014176799;0.08314648940924663;-0.010775075450964122;-0.26229143322373366;0.11539299036756479;-0.06990358467405966;-0.5460457361310012;0.1497625157947322;-0.1047446831372949;-0.5930086137320719;0.13694695146758828;0.025133612309874875;-0.6054756969568773;0.17507869414385713;-0.0016275010563322478;-0.001952270701417791;-0.08314648940924618;0.010955446939182378;-0.26200747198447666;-0.10122392425680893;-0.03380517974695629;-0.54613937503005;-0.1275530706256629;-0.0626739188348111;-0.5924506543196814;-0.12310342703195598;0.06681544749574297;-0.6039217015604872;-0.15590006944745838;0.11007622570980757;0.5546551545011396;0.02235802813158383;0.09064970916761639;0.5872931837506219;0.03771932872155315;0.09319911137873516;0.5883498637220759;0.006183444611270517;-0.023067560551523147;0.41672671986412246;0.14076324334962287;-0.029790371208449296;0.22250513417488105;0.1728237650086628;0.013995114501515582;0.06025713538473765;0.23249163830991737;0.025142862339663008;0.01145575641826535;0.25860637704484724;0.04013632357185726;0.016834275745658878;0.2639426739152695;0.03882255871901563;0.028194985843155385;0.2462209162690101;-0.010687125911550854;0.4188892765763479;-0.11598698643440963;-0.03828301152850333;0.2073554596852477;-0.15965801320455508;-0.003873013252273516;0.028133728341689812;-0.20598477550922478;0.008392421574152875;-0.02423755282365736;-0.22164033876481737;0.024081797556536833;-0.022218437522895096;-0.21596966146275243;0.021781942327541604;-0.007647554678088642;-0.2021953909929568
8;2;Тайкёку соно ичи (№1);1;2;8;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1333333333333337;0.0024130691485904077;0.001492153489546122;0.08291529089855221;-0.005773412108066811;-0.2616228223730328;0.11708476438928717;-0.06597643493117711;-0.5454510303427637;0.15302208278916396;-0.10130034884969485;-0.5920213299038397;0.14047765547800672;0.030875387494557094;-0.605100334221918;0.17800878801908837;-0.0024130691485904077;-0.001492153489546233;-0.08291529089855265;0.012591937595994196;-0.26159061030787556;-0.10360452506106554;-0.03247755489751181;-0.5452245147994517;-0.1305609459542958;-0.060927669596838374;-0.5914932470224444;-0.1256109816208335;0.0682777500806877;-0.6031530885493267;-0.16087546062132851;0.11445292499515891;0.5532938961854958;0.022273935513875465;0.09569880505259798;0.5861933885748474;0.03808131598230702;0.09675211741438439;0.5873621963713118;0.006913159048536954;-0.01827575796985803;0.41594285578783996;0.14258711581061778;-0.02590695551670663;0.22195498775582068;0.1745936595451436;0.01861705912781586;0.062001267118502956;0.23653022721740768;0.03073549162787592;0.014040983230396042;0.2633377994993822;0.045501280172881575;0.019936957345423556;0.2686484519500789;0.043677898370786394;0.031125089529029926;0.2507284210821972;-0.007912683371535056;0.4185597306266531;-0.11264947179978613;-0.03872313565520091;0.20791364174083915;-0.15862416717804395;-0.007665399486590285;0.029467281003121792;-0.20883483239085976;0.0037493066095621863;-0.0231128755838238;-0.22580050206836644;0.019647878023212106;-0.021224909955384286;-0.22000610935390252;0.017776338504647438;-0.006636776033288827;-0.20567521139364153
9;2;Тайкёку соно ичи (№1);1;2;9;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1500000000000003;0.0032353787861558736;0.0009350613999863366;0.0825483833753573;-0.00034342028157108295;-0.2605925261568471;0.11944542308403161;-0.061650008279884094;-0.5442931608946902;0.1569393521677167;-0.09745994720763695;-0.5905236974771677;0.14440053872709857;0.03694958581113306;-0.6043345511018879;0.18165795900294146;-0.0032353787861558736;-0.0009350613999863366;-0.08254838337535686;0.013698573531323754;-0.2608817388853837;-0.10671297344494812;-0.03256432666673614;-0.5436056174820517;-0.135329674934491;-0.06065022657683383;-0.58983638266374;-0.1299423258401804;0.06783073458024846;-0.6017725467614871;-0.16788523313976667;0.11859276457499135;0.551631084896184;0.0220284436217435;0.10072035640987842;0.58475439995621;0.038408638816499696;0.0999530728527398;0.5860434111627687;0.007623813170850369;-0.013517993436994669;0.4149702482332299;0.14455652124336815;-0.022339762010485043;0.22143132930141196;0.17610235796792395;0.023483848135450458;0.06469368306534384;0.2412731643663939;0.03663393424134176;0.017840435726759307;0.2688111847653287;0.05123213313718544;0.024379995846665614;0.274111267686985;0.048937994070295865;0.035307804976813406;0.25603657546182657;-0.00524691947082645;0.4181844015952759;-0.10855288055739765;-0.039242086367143214;0.20880565108501747;-0.1575112498493101;-0.012309794187890244;0.03179783235273226;-0.21286494947746704;-0.002036926970203856;-0.020954937046918087;-0.23150050083859952;0.013970385171199196;-0.01919174585609673;-0.22557580676608247;0.012585189640448746;-0.004579450067828006;-0.210534864244742
10;2;Тайкёку соно ичи (№1);1;2;10;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1666666666666669;0.004092494078349329;0.00030551215435403734;0.08201968163853568;0.005412918087849938;-0.25914715179648073;0.12257479260660542;-0.05702595234371621;-0.5425103970744336;0.16149523077755568;-0.09335587802033052;-0.5884707566185304;0.14872472399247627;0.04321067936682632;-0.6031143711216538;0.18605263314112896;-0.004092494078349107;-0.00030551215435403734;-0.08201968163853479;0.01398602628924972;-0.2598315155647227;-0.1106451420278245;-0.03450432596001152;-0.5412305474746001;-0.1421367623745189;-0.06233357344157042;-0.5874239644047433;-0.13642862764519315;0.06497255289116532;-0.5997244202158774;-0.17717606142121145;0.12218081331736119;0.5496632418483275;0.02162772796244372;0.10541584308000562;0.5829679716976658;0.038696745804374544;0.10252722523355873;0.5843753176900329;0.008323795749038077;-0.009056683219553996;0.4138590331409785;0.14661443137839036;-0.019277159945894073;0.22097642493982328;0.17727965564266945;0.028472875593601676;0.06855861492962545;0.24656544704249406;0.04270696646534122;0.02309197906875604;0.27485869538891716;0.057186989820651846;0.030401053360916808;0.2801412527426512;0.054451547443974846;0.0409749226894206;0.2619624669635163;-0.0028399982479208052;0.41779785089736066;-0.1037051332566108;-0.03982981625241511;0.21015635401738264;-0.1563949761313661;-0.01798536931049366;0.035354602697332926;-0.2181684874722798;-0.009151543362310832;-0.017490624736126392;-0.23886080918877406;0.0068323233994895816;-0.01581180179748809;-0.23285607814348497;0.005987397852108334;-0.0011977843135203559;-0.21695657250600275
11;2;Тайкёку соно ичи (№1);1;2;11;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.1833333333333335;0.0049950731076697785;-0.00037150124853979616;0.08129841438902385;0.011433662668551614;-0.2572931323731187;0.12651465337800083;-0.05220859919066623;-0.5400915975787786;0.16664071101242506;-0.08913368655972298;-0.5858560194698766;0.15345894212074107;0.049524896893961445;-0.6014222141947874;0.19119410294037564;-0.0049950731076695565;0.0003715012485399072;-0.0812984143890243;0.013183892537629971;-0.25841577578058217;-0.11546724864392388;-0.038661798537555025;-0.5381222039190042;-0.1511966200980166;-0.06637915392327476;-0.5842747029059348;-0.14532204130740878;0.05931861959292828;-0.5970280776083027;-0.18891821741851444;0.12492598598811555;0.5473720477060633;0.02107088337964136;0.10949868832780063;0.58080867486795;0.03891914325996293;0.10423250240978499;0.5823239917593834;0.009012219598548477;-0.005116277655930146;0.41265777428048667;0.14865938344283425;-0.016875041516743572;0.2206142262518277;0.17805541176420547;0.03345864674415333;0.07379932586135718;0.25216549580858505;0.04884630044456095;0.030001560571136343;0.281196946519362;0.06323758690676562;0.038197938649313645;0.2864286978627568;0.06005936836628378;0.04832276038800942;0.2682078194630124;-0.0008678182891834751;0.4174281883453339;-0.09814746376778638;-0.04047238789959384;0.21210335779607792;-0.1553838353795407;-0.02480132118322631;0.0403810888996452;-0.22477351089510478;-0.017685379403407753;-0.012423426997811848;-0.24791541403443018;-0.0018961320004575732;-0.010753073710686678;-0.24194248075183022;-0.0021430021006123567;0.003808735081701431;-0.22506007104970704
